name,engine,technology,description,conforms,successes,failures
nostratcycle,shacl,jena_shacl,"Feature test - Non-stratified negation with cyclic data -- nostratcycle (SHACL)
",False,[],[]
nostratcycle,shacl,shacl_tq,"Feature test - Non-stratified negation with cyclic data -- nostratcycle (SHACL)
",False,[],[]
nostratcycle,shacl,shex_s,"Feature test - Non-stratified negation with cyclic data -- nostratcycle (ShEx)
",True,"[{'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S'}]",[]
consistency1,shacl,pyshacl,"Consistency test 1
",False,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1,shacl,shaclex_shacl,"Consistency test 1
",Error,[],Error running commandCommandResult.TIMEOUT
consistency1,shacl,jena_shacl,"Consistency test 1
",False,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1,shacl,shacl_tq,"Consistency test 1
",False,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1,shacl,shex_s,"Feature test - Consistency1 (ShEx)
",False,[],"[{'node': ':a', 'shape': ':S'}, {'node': ':a', 'shape': ':S1'}]"
consistency1_individually_S,shacl,pyshacl,"Consistency test 1
",False,[],[]
consistency1_individually_S,shacl,shaclex_shacl,"Consistency test 1
",Error,[],Error running commandCommandResult.TIMEOUT
consistency1_individually_S,shacl,jena_shacl,"Consistency test 1
",False,[],[]
consistency1_individually_S,shacl,shacl_tq,"Consistency test 1
",False,[],[]
consistency1_individually_S1,shacl,pyshacl,"Consistency test 1
",False,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1_individually_S1,shacl,shaclex_shacl,"Consistency test 1
",Error,[],Error running commandCommandResult.TIMEOUT
consistency1_individually_S1,shacl,jena_shacl,"Consistency test 1
",False,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency1_individually_S1,shacl,shacl_tq,"Consistency test 1
",False,[],"[{'node': ':a', 'shape': ':S1'}]"
consistency2_all,shacl,pyshacl,"Consistency test 2
",False,[],"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
consistency2_all,shacl,shaclex_shacl,"Consistency test 2
",Error,[],Error running commandCommandResult.TIMEOUT
consistency2_all,shacl,jena_shacl,"Consistency test 2
",False,[],"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
consistency2_all,shacl,shacl_tq,"Consistency test 2
",False,[],[]
consistency2_all,shacl,shex_s,"Consistency test 2
",True,"[{'node': ':a', 'shape': ':S1'}, {'node': ':a', 'shape': ':S'}, {'node': ':b', 'shape': ':S1'}, {'node': ':b', 'shape': ':S'}]",[]
consistency2_a_S,shacl,pyshacl,"Consistency test 2
",False,[],[]
consistency2_a_S,shacl,shaclex_shacl,"Consistency test 2
",Error,[],Error running commandCommandResult.TIMEOUT
consistency2_a_S,shacl,jena_shacl,"Consistency test 2
",False,[],[]
consistency2_a_S,shacl,shacl_tq,"Consistency test 2
",True,[],[]
consistency2_a_S_b_S,shacl,pyshacl,"Consistency test 2
",False,[],[]
consistency2_a_S_b_S,shacl,shaclex_shacl,"Consistency test 2
",Error,[],Error running commandCommandResult.TIMEOUT
consistency2_a_S_b_S,shacl,jena_shacl,"Consistency test 2
",False,[],[]
consistency2_a_S_b_S,shacl,shacl_tq,"Consistency test 2
",False,[],[]
consistency2_a_S1_b_S1,shacl,pyshacl,"Consistency test 2
",False,[],"[{'node': ':b', 'shape': ':S1'}, {'node': ':a', 'shape': ':S1'}]"
consistency2_a_S1_b_S1,shacl,shaclex_shacl,"Consistency test 2
",Error,[],Error running commandCommandResult.TIMEOUT
consistency2_a_S1_b_S1,shacl,jena_shacl,"Consistency test 2
",False,[],"[{'node': ':a', 'shape': ':S1'}, {'node': ':b', 'shape': ':S1'}]"
consistency2_a_S1_b_S1,shacl,shacl_tq,"Consistency test 2
",True,[],[]
resilience,shacl,pyshacl,"Feature test: Resilience
",False,[],"[{'node': ':b', 'shape': ':S1'}]"
resilience,shacl,shaclex_shacl,"Feature test: Resilience
",False,[],[]
resilience,shacl,jena_shacl,"Feature test: Resilience
",False,[],"[{'node': ':b', 'shape': ':S1'}]"
resilience,shacl,shacl_tq,"Feature test: Resilience
",False,[],"[{'node': ':b', 'shape': ':S1'}]"
resilience,shacl,shex_s,"Feature test: Resilience
",False,"[{'node': ':b', 'shape': ':S'}, {'node': ':c', 'shape': ':S1'}]","[{'node': ':b', 'shape': ':S1'}, {'node': ':c', 'shape': ':S'}]"
isolation1,shacl,pyshacl,"Assignment isolation test
",True,[],[]
isolation1,shacl,shaclex_shacl,"Assignment isolation test
",Error,[],Error running commandCommandResult.TIMEOUT
isolation1,shacl,jena_shacl,"Assignment isolation test
",True,[],[]
isolation1,shacl,shacl_tq,"Assignment isolation test
",False,[],[]
isolation1,shacl,shex_s,"Assignment isolation test 1
",True,"[{'node': ':a', 'shape': ':S1'}]",[]
isolation2,shacl,pyshacl,"Assignment isolation test
",False,[],[]
isolation2,shacl,shaclex_shacl,"Assignment isolation test
",Error,[],Error running commandCommandResult.TIMEOUT
isolation2,shacl,jena_shacl,"Assignment isolation test
",False,[],[]
isolation2,shacl,shacl_tq,"Assignment isolation test
",True,[],[]
isolation2,shacl,shex_s,"Assignment isolation test 2
",False,[],"[{'node': ':b', 'shape': ':S2'}]"
isolation3,shacl,pyshacl,"Assignment isolation test
",False,[],[]
isolation3,shacl,shaclex_shacl,"Assignment isolation test
",Error,[],Error running commandCommandResult.TIMEOUT
isolation3,shacl,jena_shacl,"Assignment isolation test
",False,[],[]
isolation3,shacl,shacl_tq,"Assignment isolation test
",False,[],[]
isolation3,shacl,shex_s,"Assignment isolation test 3
",False,"[{'node': ':a', 'shape': ':S1'}]","[{'node': ':b', 'shape': ':S2'}]"
